"","logFC","logCPM","LR","PValue","FDR","names","dir","symbol"
"ENSG00000219545.UMAD1",-0.122687343901773,3.76043660242011,1.22154218435672,0.269058209936203,0.986816411214075,"ENSG00000219545.UMAD1","downr","UMAD1"
"ENSG00000114491.UMPS",-0.087246438021761,4.16431343386609,1.2030474598265,0.272713438939817,0.986816411214075,"ENSG00000114491.UMPS","downr","UMPS"
"ENSG00000109103.UNC119",0.0317784959559918,5.61171450220107,0.200202398334239,0.654557525501334,0.996924660785995,"ENSG00000109103.UNC119","upr","UNC119"
"ENSG00000175970.UNC119B",0.179917353967999,2.29743616525911,1.23704394420985,0.266041519325079,0.986816411214075,"ENSG00000175970.UNC119B","upr","UNC119B"
"ENSG00000130477.UNC13A",-0.120349979902936,4.70966148383529,1.38171572270076,0.239809113443584,0.985212860121303,"ENSG00000130477.UNC13A","downr","UNC13A"
"ENSG00000198722.UNC13B",-0.11193615316659,3.78085846549903,1.26007476941717,0.26163693823355,0.986816411214075,"ENSG00000198722.UNC13B","downr","UNC13B"
"ENSG00000092929.UNC13D",0.222513783790837,0.336403937782208,0.673154217625428,0.411954060001348,0.992705605531973,"ENSG00000092929.UNC13D","upr","UNC13D"
"ENSG00000140553.UNC45A",0.0173789848212674,3.82551978086309,0.0406137362935262,0.840285346808952,0.996924660785995,"ENSG00000140553.UNC45A","upr","UNC45A"
"ENSG00000115446.UNC50",0.042613907731002,5.84390983386799,0.469702171094728,0.493124215671956,0.994734517660669,"ENSG00000115446.UNC50","upr","UNC50"
"ENSG00000113763.UNC5A",-0.312703197940681,1.97940071922802,3.84373328143127,0.0499322253858516,0.768464502942626,"ENSG00000113763.UNC5A","downr","UNC5A"
"ENSG00000107731.UNC5B",0.0797374143718245,1.25294932366943,0.0880717417122057,0.766642999826841,0.996924660785995,"ENSG00000107731.UNC5B","upr","UNC5B"
"ENSG00000182168.UNC5C",-0.201754576368154,5.59736822776862,4.31354074173333,0.0378101867894153,0.727558947253141,"ENSG00000182168.UNC5C","downr","UNC5C"
"ENSG00000156687.UNC5D",-0.232272442444354,2.76600474185466,1.087895985415,0.296937861046868,0.986816411214075,"ENSG00000156687.UNC5D","downr","UNC5D"
"ENSG00000276416.UNC79",0.191588453752621,2.56546291431644,1.55292374392828,0.212704335618718,0.971863844723285,"ENSG00000276416.UNC79","upr","UNC79"
"ENSG00000144406.UNC80",-0.0827012846035198,2.68690447874543,0.312390567508309,0.576216929148671,0.996924660785995,"ENSG00000144406.UNC80","downr","UNC80"
"ENSG00000110057.UNC93B1",0.00923768793476549,-1.07519030299232,0.000298507962085637,0.986215328691027,0.998312007339366,"ENSG00000110057.UNC93B1","upr","UNC93B1"
"ENSG00000164853.UNCX",0.154186500474879,0.836953499821996,0.285070474987165,0.593396943408136,0.996924660785995,"ENSG00000164853.UNCX","upr","UNCX"
"ENSG00000076248.UNG",-0.0319924993560627,4.99142287888107,0.215362798709114,0.642596179056299,0.996924660785995,"ENSG00000076248.UNG","downr","UNG"
"ENSG00000132478.UNK",0.0683438040949942,4.12575101439384,0.591702401391348,0.441761564705127,0.992705605531973,"ENSG00000132478.UNK","upr","UNK"
"ENSG00000059145.UNKL",0.579157036014334,1.89237359886386,8.35166291122461,0.0038533450932284,0.259910523162379,"ENSG00000059145.UNKL","upr","UNKL"
"ENSG00000240520.UOX",0.0572759149646649,0.815876742178735,0.0330658440763898,0.855708166151812,0.996924660785995,"ENSG00000240520.UOX","upr","UOX"
"ENSG00000005007.UPF1",0.0161832512122279,2.7505586161833,0.0139640259042881,0.905933372254077,0.996924660785995,"ENSG00000005007.UPF1","upr","UPF1"
"ENSG00000151461.UPF2",-0.107674054591689,2.94538237005793,0.718638113433897,0.396590996263804,0.992705605531973,"ENSG00000151461.UPF2","downr","UPF2"
"ENSG00000169062.UPF3A",-0.000797442233896039,4.56712980714968,6.86134336191913e-05,0.993390940348195,0.99875846683862,"ENSG00000169062.UPF3A","downr","UPF3A"
"ENSG00000125351.UPF3B",0.0392370877209865,5.20208578074959,0.239374153554083,0.624658499841465,0.996924660785995,"ENSG00000125351.UPF3B","upr","UPF3B"
"ENSG00000114638.UPK1B",0.134926150832476,3.7661671638717,0.762672013197598,0.382493614401312,0.992705605531973,"ENSG00000114638.UPK1B","upr","UPK1B"
"ENSG00000110375.UPK2",-0.213998448785708,1.12614875189446,0.810043127478112,0.368107500349831,0.991943960031022,"ENSG00000110375.UPK2","downr","UPK2"
"ENSG00000100373.UPK3A",0.267380535209592,0.562054168491885,0.785686722580913,0.37540756080939,0.992705605531973,"ENSG00000100373.UPK3A","upr","UPK3A"
"ENSG00000267368.UPK3BL1",-0.019398889809305,4.39055829083255,0.0153207227193164,0.901491916688634,0.996924660785995,"ENSG00000267368.UPK3BL1","downr","UPK3BL1"
