"","TimePoint","Cond","DendriteArea","SomaArea","Count_MaskPSDbySYNdend","Count_MaskedNuclei","Count_MaskedRotSynbyPSDDend","SynapseCounts","Count_PSDMaskByDEND","Count_SynMaskByDend","FileName_MAP2","ImageNumber","Synapses_by_length","Math_RandomParticlesPerCell","Synapses_by_area","Synapses_by_Cell","Mean_IntegrIntensity_PSD95inDend","Mean_Intensity_PSD95inDend","Mean_IntegrIntensity_SyninDend","Mean_Intensity_SyninDend","CVS","Image","Length","Length_um","CVSi","DendriteArea_um2","Synapses_perArea_um2","Synapses_perLength_um","PSD_per_length_micron","PSD_per_area","PSD_per_area_um2","Syn_per_length_micron","Syn_per_area","Syn_per_area_um2","Differentiation","Day","Condition","Blinding","day","isEmpty","isEmpty2"
"483","G","1",17283,20833,1,1,0,1,6,4,"G_1_CS-L_3.tif",483,0.000697350069735007,0,5.78603251750275e-05,1,2.53824164966742,0.175796619143672,11.4746738709509,0.399748213365332,"CS-L","3.tif",1434,101.319126988052,"G_1_CS-L",86.2787223740698,0.011590343163224,0.00986980474198047,0.0592188284518828,0.000347161951050165,0.0695420589793439,0.0394792189679219,0.00023144130070011,0.0463613726528959,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"484","G","1",20404,31546,1,1,0,1,20,2,"G_1_CS-L_4.tif",484,0.000664451827242525,0,4.90099980396001e-05,1,1.57536125257611,0.142570151942357,19.5340046882629,0.459188195876777,"CS-L","4.tif",1505,106.335624907265,"G_1_CS-L",101.859113077621,0.00981748190991962,0.00940418604651163,0.188083720930233,0.000980199960792001,0.196349638198392,0.0188083720930233,9.80199960792002e-05,0.0196349638198392,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"485","G","1",23574,22977,6,1,0,7,31,33,"G_1_CS-L_5.tif",485,0.00292153589315526,0,0.000296937303809281,7,1.93714809057213,0.149760285620488,15.3345929041053,0.458809880043117,"CS-L","5.tif",2396,169.289141048377,"G_1_CS-L",117.684117412852,0.0594812635204038,0.0413493739565943,0.183118656093489,0.00131500805972682,0.263417024161788,0.19493276293823,0.00139984728938661,0.280411670881904,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"486","G","1",19875,25964,4,1,1,4,16,8,"G_1_CS-L_6.tif",486,0.003125,1,0.00020125786163522,4,2.44188410276547,0.156325828844761,11.4812962710857,0.374561831711758,"CS-L","6.tif",1280,90.4382723463786,"G_1_CS-L",99.2182842784608,0.0403151498646541,0.0442290625,0.17691625,0.000805031446540881,0.161260599458616,0.088458125,0.00040251572327044,0.0806302997293082,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"487","G","1",25584,29204,2,1,0,2,20,6,"G_1_CS-L_7.tif",487,0.000885739592559787,0,7.81738586616635e-05,2,1.83651788905263,0.148540190082062,15.6934284667174,0.434251179616943,"CS-L","7.tif",2258,159.538764811033,"G_1_CS-L",127.718268426674,0.0156594669238587,0.0125361381753764,0.125361381753764,0.000781738586616635,0.156594669238587,0.0376084145261293,0.000234521575984991,0.046978400771576,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"488","G","1",18367,30725,1,1,0,1,14,9,"G_1_CS-L_8.tif",488,0.000534473543559594,0,5.44454728589318e-05,1,1.57659702588405,0.143051836366777,13.7820146911674,0.515165694069981,"CS-L","8.tif",1871,132.195318406308,"G_1_CS-L",91.6901749606284,0.010906293945119,0.007564564404062,0.105903901656868,0.000762236620025045,0.152688115231665,0.068081079636558,0.000490009255730386,0.0981566455060707,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"489","G","1",16473,27203,6,1,0,6,21,9,"G_1_CS-R_1.tif",489,0.00462962962962963,0,0.000364232380258605,6,3.31213927801166,0.182799738852927,18.9053448703554,0.388992411529477,"CS-R","1.tif",1296,91.5687507507083,"G_1_CS-R",82.2351092789477,0.0729615373848115,0.065524537037037,0.22933587962963,0.00127481333090512,0.25536538084684,0.0982868055555556,0.000546348570387907,0.109442306077217,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"490","G","1",23400,29580,12,1,0,13,28,24,"G_1_CS-R_2.tif",490,0.00682773109243697,0,0.000555555555555556,13,2.74495580765818,0.151285260285066,18.8842889138808,0.458978925341268,"CS-R","2.tif",1904,134.526930115238,"G_1_CS-R",116.815489414641,0.111286611605556,0.0966349264705882,0.208136764705882,0.0011965811965812,0.239694240381197,0.178402941176471,0.00102564102564103,0.205452206041026,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"491","G","1",25773,27561,6,1,0,7,24,18,"G_1_CS-R_3.tif",491,0.00381056069678824,0,0.000271602064175688,7,1.72684951964766,0.126362911663056,12.1675415130125,0.316298510449395,"CS-R","3.tif",1837,129.793051797107,"G_1_CS-R",128.661778148869,0.0544062121689365,0.053932008709853,0.184909744148068,0.000931207077173787,0.186535584579211,0.138682308111051,0.00069840530788034,0.139901688434408,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"492","G","1",14157,24725,2,1,0,2,14,4,"G_1_CS-R_4.tif",492,0.00177304964539007,0,0.000141272868545596,2,2.55852489705597,0.165665683708183,6.07666514441371,0.28462159964256,"CS-R","4.tif",1128,79.6987275052461,"G_1_CS-R",70.6733710958576,0.0282992019340256,0.0250945035460993,0.175661524822695,0.000988910079819171,0.198094413538179,0.0501890070921986,0.000282545737091192,0.0565984038680511,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"493","G","1",17415,25446,0,1,0,1,12,2,"G_1_CS-R_5.tif",493,0.000683994528043776,0,5.74217628481194e-05,1,1.61527046995858,0.12885891550221,9.93290609866381,0.267398301015298,"CS-R","5.tif",1462,103.297464195629,"G_1_CS-R",86.9376815451268,0.011502492155613,0.00968077975376197,0.116169357045144,0.000689061154177433,0.138029905867356,0.0193615595075239,0.000114843525696239,0.023004984311226,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"494","G","1",13976,24830,0,1,0,0,11,2,"G_1_CS-R_6.tif",494,0,0,0,0,1.38905373689803,0.11670578570527,12.1666742786765,0.353562083933502,"CS-R","6.tif",1256,88.742554739884,"G_1_CS-R",69.7697982931204,0,0,0.123954060509554,0.000787063537492845,0.15766134157055,0.022537101910828,0.000143102461362335,0.0286656984673726,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"495","G","1",43813,24146,0,1,1,0,35,8,"G_1_CS-R_7.tif",495,0,1,0,0,1.48206258299095,0.109707032589478,8.2435359004885,0.318614952456983,"CS-R","7.tif",2935,207.372132294235,"G_1_CS-R",218.719531526652,0,0,0.16877870528109,0.000798849656494648,0.160022288616392,0.0385779897785349,0.000182594207198777,0.0365765231123183,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"496","G","1",10513,32439,0,1,0,0,6,1,"G_1_CS-R_8.tif",496,0,0,0,0,1.50479641929269,0.100177781808156,13.5087968558073,0.385965624451637,"CS-R","8.tif",826,58.3609476235224,"G_1_CS-R",52.48210428274,0,0,0.102808474576271,0.000570721963283554,0.114324684232855,0.0171347457627119,9.51203272139256e-05,0.0190541140388091,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"497","G","2",31445,70744,1,2,0,1,21,18,"G_2_CS-L_1.tif",497,0.000464037122969838,0,3.18015582763555e-05,0.5,5.11903634951228,0.337086397346282,17.1024447944429,0.528799163939306,"CS-L","1.tif",2155,152.261310083161,"G_2_CS-L",156.977054044589,0.006370357795834,0.006567656612529,0.137920788863109,0.000667832723803466,0.133777513712514,0.118217819025522,0.0005724280489744,0.114666440325012,"p3","Day21","Empty","G_2",21,"p5","p7"
"498","G","2",25647,77215,0,3,0,0,15,13,"G_2_CS-L_2.tif",498,0,0,0,0,4.35951476593812,0.35248293717352,14.7497778271253,0.408680941432194,"CS-L","2.tif",1707,120.607914761928,"G_2_CS-L",128.032771667406,0,0,0.124369947275923,0.000584863726751667,0.117157504322143,0.107787287639133,0.000506881896518111,0.101536503745857,"p3","Day21","Empty","G_2",21,"p5","p7"
"499","G","2",15407,23171,3,1,0,3,13,13,"G_2_CS-L_3.tif",499,0.00234192037470726,0,0.000194716687220095,3,4.60498148432145,0.311262838173005,9.48723580287053,0.34256147597645,"CS-L","3.tif",1281,90.5089272466492,"G_2_CS-L",76.9135147611696,0.0390048486188096,0.0331459016393443,0.143632240437158,0.000843772311287077,0.169021010681508,0.143632240437158,0.000843772311287077,0.169021010681508,"p3","Day21","Empty","G_2",21,"p5","p7"
"500","G","2",52549,55987,0,2,0,0,11,8,"G_2_CS-L_4.tif",500,0,0,0,0,7.8549408045682,0.604256276515946,12.8359311707318,0.431075526955797,"CS-L","4.tif",4008,283.184840284598,"G_2_CS-L",262.330647574784,0,0,0.0388438872255489,0.000209328436316581,0.0419318143026509,0.0282500998003992,0.000152238862775695,0.0304958649473824,"p3","Day21","Empty","G_2",21,"p5","p7"
"501","G","2",17373,23842,0,1,0,0,8,14,"G_2_CS-L_5.tif",501,0,0,0,0,4.62174603156745,0.39278169635802,15.0934713333845,0.426027197287288,"CS-L","5.tif",1416,100.047338783181,"G_2_CS-L",86.7280127179723,0,0,0.0799621468926554,0.00046048466010476,0.0922423995349105,0.139933757062147,0.00080584815518333,0.161424199186093,"p3","Day21","Empty","G_2",21,"p5","p7"
"502","G","2",37319,24582,2,1,0,2,13,27,"G_2_CS-L_6.tif",502,0.000669792364367046,0,5.35920040729923e-05,2,4.73543555346819,0.337139153870053,17.6529448484933,0.501155662235178,"CS-L","6.tif",2986,210.975532208036,"G_2_CS-L",186.300737156623,0.010735330576382,0.00947977227059611,0.0616185197588747,0.00034834802647445,0.069779648746483,0.127976925653048,0.000723492054985396,0.144926962781157,"p3","Day21","Empty","G_2",21,"p5","p7"
"503","G","2",8207,26061,4,1,0,4,5,9,"G_2_CS-L_7.tif",503,0.00856531049250535,0,0.000487388814426709,4,3.86870527565479,0.292176548153342,20.9887541002697,0.486976132281027,"CS-L","7.tif",467,32.9958384263741,"G_2_CS-L",40.9702872489725,0.0976317294455952,0.121227408993576,0.15153426124197,0.000609236018033386,0.122039661806994,0.272761670235546,0.0010966248324601,0.219671391252589,"p3","Day21","Empty","G_2",21,"p5","p7"
"504","G","2",21108,28030,0,1,0,0,4,7,"G_2_CS-L_8.tif",504,0,0,0,0,7.1596017703414,0.645969409457963,9.07527058678014,0.358213516272179,"CS-L","8.tif",1580,111.634742427561,"G_2_CS-L",105.373561989925,0,0,0.0358311392405063,0.000189501610763691,0.037960185880235,0.0627044936708861,0.00033162781883646,0.0664303252904112,"p3","Day21","Empty","G_2",21,"p5","p7"
