"","TimePoint","Cond","ImageNumber","ObjectNumber","File","NumberBranchEnds","NumberNonTrunkBranches","NumberTrunks","TotalObjectSkeletonLength","CVS","Image","Differentiation","Day","Condition","Blinding","day","TotalLength_um","CVSi","Imagei","isEmpty","isEmpty2"
"82","A","1",1,82,"A_1_1_1",5,0,5,152.639612197876,"1","1","p1","Day21","pLNA-1229","A_1",21,10.7847365771852,"A_1_1","A_1_1_1","p6","p8"
"83","A","1",1,83,"A_1_1_1",2,0,2,37.8994955420494,"1","1","p1","Day21","pLNA-1229","A_1",21,2.67778507782986,"A_1_1","A_1_1_1","p6","p8"
"84","A","1",1,84,"A_1_1_1",2,0,2,42.5563492774963,"1","1","p1","Day21","pLNA-1229","A_1",21,3.00681461408268,"A_1_1","A_1_1_1","p6","p8"
"85","A","1",1,85,"A_1_1_1",9,5,6,498.073169529438,"1","1","p1","Day21","pLNA-1229","A_1",21,35.1913101205682,"A_1_1","A_1_1_1","p6","p8"
"86","A","1",1,86,"A_1_1_1",3,1,2,179.965515971184,"1","1","p1","Day21","pLNA-1229","A_1",21,12.7154455830925,"A_1_1","A_1_1_1","p6","p8"
"87","A","1",2,1,"A_1_1_2",6,2,4,174.539108812809,"1","2","p1","Day21","pLNA-1229","A_1",21,12.3320433264899,"A_1_1","A_1_1_2","p6","p8"
"88","A","1",2,2,"A_1_1_2",3,1,2,141.639613509178,"1","2","p1","Day21","pLNA-1229","A_1",21,10.0075327668585,"A_1_1","A_1_1_2","p6","p8"
"89","A","1",2,3,"A_1_1_2",3,1,3,196.409168303013,"1","2","p1","Day21","pLNA-1229","A_1",21,13.8772701986825,"A_1_1","A_1_1_2","p6","p8"
"90","A","1",2,4,"A_1_1_2",4,2,2,136.982758045197,"1","2","p1","Day21","pLNA-1229","A_1",21,9.67850310847622,"A_1_1","A_1_1_2","p6","p8"
"91","A","1",2,5,"A_1_1_2",2,0,2,41.455845117569,"1","2","p1","Day21","pLNA-1229","A_1",21,2.92905860241562,"A_1_1","A_1_1_2","p6","p8"
"92","A","1",2,6,"A_1_1_2",3,3,2,99.0832625627518,"1","2","p1","Day21","pLNA-1229","A_1",21,7.00071803485772,"A_1_1","A_1_1_2","p6","p8"
"93","A","1",2,7,"A_1_1_2",2,0,3,62.7695536017418,"1","2","p1","Day21","pLNA-1229","A_1",21,4.43497654976167,"A_1_1","A_1_1_2","p6","p8"
