"","logFC.stage9","logFC.stage15","logFC.stage21","logFC.stage27","logFC.stage33","logFC.stage40","logCPM","LR","PValue","FDR"
"ENSG00000244045.TMEM199",0.600907375288035,0.494640825473264,0.408639909031676,0.249025129697328,0.103473693568972,-0.278414235475105,5.10920282675768,145.983011898047,5.46518412004348e-29,1.18958793286249e-28
"ENSG00000258924.ENSG00000258924",0.671480616739097,0.60597029011137,0.59001783539101,0.533987055293462,0.30692498927537,0.169155421152327,3.78775333281794,47.6203348123089,1.4070516793321e-08,2.01301590559939e-08
"ENSG00000284532.MIR4723",-0.711215723954574,0.176734878350694,-0.654828375878804,-1.11249885826827,0.0622404676451759,-1.35198878838856,-3.73750958604552,6.51004995516533,0.368538666693935,0.381233711033257
"ENSG00000273171.ENSG00000273171",-0.00728778723450331,0.656781681867682,-0.461994491283157,0.340084425789284,0.863230576083564,0.867262923744593,-3.35427846946015,5.96194995966933,0.42746596743016,0.43994505071421
"ENSG00000004139.SARM1",1.58496451039379,1.64688625985088,1.696562886345,1.76441271027258,1.73468624981148,1.73871348450213,6.02728214177027,512.879234458336,1.41259158651498e-107,6.54439503603827e-107
"ENSG00000109072.VTN",1.36864001332678,1.6169240774784,1.20336927490044,1.90255656767139,2.04076964763817,2.07366564899215,-0.891883139827523,55.2026260044253,4.21866064048744e-10,6.3081238505099e-10
"ENSG00000277450.ENSG00000277450",-0.344088494430071,0.316807065480104,0.0672969281474295,0.422975282764888,-0.0369677215075304,-0.197301644162782,-1.84362526606176,4.56233053117322,0.601039536172747,0.611390868020476
"ENSG00000076351.SLC46A1",-0.354166771875979,-0.244344732162391,-0.223762201682928,-0.144767965229292,-0.263450615687779,-0.0408609071894026,3.89752905843178,10.4668034759621,0.106320879440048,0.114512484661792
"ENSG00000265254.ENSG00000265254",-1.48335385668678,-1.60802173863967,-1.38184719762927,-2.03649335464867,-0.939101663457586,-0.970667752094468,-1.37490164762171,40.2123560955852,4.13771753293188e-07,5.65420008269337e-07
"ENSG00000258472.ENSG00000258472",-2.7447821749039,-2.89127450800927,-2.84367916933209,-2.94834176682815,-3.35317990485561,-3.40060163155649,3.12152074723967,1086.13459719296,2.08519000912435e-231,2.02546223606486e-230
"ENSG00000109103.UNC119",-0.0600289488329517,0.175318245770644,0.149182045114083,0.119433936006059,0.397817319970925,0.470520169715856,5.7436778081714,57.3753485376049,1.5336144789848e-10,2.31879532233522e-10
