"","logFC.stage9","logFC.stage15","logFC.stage21","logFC.stage27","logFC.stage33","logFC.stage40","AveExpr","PValue","FDR","GeneName"
"P20226.TBP",-0.587648897292396,-0.680593827107282,-0.995250059091229,-1.1182316467961,-0.930373626531887,-1.02519160222949,13.2637163848642,0.000152440126792846,0.000233950992978928,"TBP"
"P20248.CCNA2",-2.10709518174434,-0.74692571837792,-1.68323896694226,-2.63170179468899,-2.2776575635451,-2.56907395920058,12.2177476726456,0.0165813985837677,0.0196405741498715,"CCNA2"
"P20290.BTF3",-2.0872410782967,-2.34926956001624,-2.48780560793353,-2.47914804935234,-2.63802639055299,-2.68942923689683,14.624112302993,6.07820146830142e-13,6.80044716954346e-12,"BTF3"
"P20336.RAB3A",3.25568759477217,3.61994249630326,3.80289912382516,4.07388568681972,4.15834980622882,4.36499635521637,19.0663906512545,3.78001725365876e-17,4.2959564507371e-15,"RAB3A"
"P20337.RAB3B",1.11383098974638,1.84586245710689,2.297911677694,2.67363211860899,2.86726729279331,2.96411910921602,18.256790899249,1.71770600797621e-16,1.22278016699669e-14,"RAB3B"
"P20338.RAB4A",1.2982221566468,1.57267040987098,1.87588438253217,2.30710957464603,2.55727442494699,2.74856587314839,16.0074555272502,4.63702214460343e-11,2.66772908106048e-10,"RAB4A"
"P20339.RAB5A",0.772850368775021,0.912896533537719,0.933904293837413,0.828409692614368,0.957067266279227,0.937993463637637,16.85429394322,8.89193123959922e-07,1.89792192982286e-06,"RAB5A"
"P20340.RAB6A",1.86000009341103,1.75386609120883,1.64370776439156,1.67101468257943,1.61534723014334,1.74304054652163,16.6574134425452,6.10640228456187e-12,4.65579918405476e-11,"RAB6A"
"P20366.TAC1",2.97837030900804,4.60542698876877,5.11683479359628,4.62064703960707,4.42223979063365,3.66775764720402,15.0432884926563,1.83636178256262e-08,5.23359068519167e-08,"TAC1"
"P20618.PSMB1",0.109043778082228,0.272433767700215,0.193531128900416,0.138374788069239,-0.0320337911404553,-0.0444693155435386,19.6388495883665,0.00129671636014991,0.00176066413352569,"PSMB1"
"P20645.M6PR",0.322503546289696,0.534329507726665,0.348460898924532,0.152930543648435,0.0502918946193343,0.182027163861513,15.0597152861762,0.00470318187311914,0.00595295274991516,"M6PR"
