"Table.ID","Cell.Trace","Peak.Time[Frame]","Peak.Intensity[df/F]","Table","Peak.Start[Frame]","Peak.Stop[Frame]","Start.Intensity[df/F]","Stop.Intensity[df/F]","Peak.Duration[s]","Duration.To.Peak[s]","Time.To.Decay[s]","Baseline.Intensity[df/F]","Amplitude","Peak.Time[s]","Peak.Start[s]","Peak.Stop[s]"
"2","Mean3",405,0.108717167066245,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",404,411,0.00728238836934837,0.0015295132548994,2.779,0.397,2.382,0.00440595081212389,2.44771252010209,160.785,160.388,163.167
"2","Mean3",44,0.164843423357626,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",42,49,0.0462717452857649,0.0289337334412989,2.779,0.794,1.985,0.0376027393635319,2.9857634342979,17.468,16.674,19.453
"2","Mean3",490,0.123551857908748,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",487,493,0.000333423304701356,0.018782846164838,2.382,1.191,1.191,0.00955813473476969,2.67491717042436,194.53,193.339,195.721
"2","Mean3",520,0.142964503649133,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",518,524,0.005625856712658,0.00805508364690997,2.382,0.794,1.588,0.00684047017978398,3.19421547341565,206.44,205.646,208.028
"2","Mean3",556,0.119397297683502,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",554,560,0.000635092008954671,0.00573170538081704,2.382,0.794,1.588,0.00318339869488585,2.72701465651903,220.732,219.938,222.32
"2","Mean3",629,0.0943852573974987,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",627,633,0.00317546004477411,0.00025932923698976,2.382,0.794,1.588,0.00171739464088193,2.17449566811576,249.713,248.919,251.301
"2","Mean3",653,0.116650524744772,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",650,657,0.00601749678484671,0.00463087923196206,2.779,1.191,1.588,0.00532418800840439,2.61232567342386,259.241,258.05,260.829
"2","Mean3",730,0.128722565348321,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",729,735,0.00429216349385273,0.00644618389089129,2.382,0.397,1.985,0.00536917369237201,2.89454626257792,289.81,289.413,291.795
"2","Mean3",82,0.0778940348983058,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",81,84,0.0130299710503892,0.0315481955448295,1.191,0.397,0.794,0.0222890832976093,1.304796752452,32.554,32.157,33.348
"2","Mean4",15,0.0964120572194798,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",14,16,0.0792450107331622,0.0667019427925464,0.794,0.397,0.397,0.0729734767628543,0.549997487301233,5.955,5.558,6.352
"2","Mean4",19,0.0888898242407116,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",16,21,0.0667019427925464,0.0722519196425888,1.985,1.191,0.794,0.0694769312175676,0.455532808556189,7.543,6.352,8.337
"2","Mean4",24,0.0800507495174588,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",21,26,0.0722519196425888,0.0650604003439424,1.985,1.191,0.794,0.0686561599932656,0.267379486515093,9.528,8.337,10.322
"2","Mean4",7,0.112899637417547,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",5,9,0.109496293000295,0.0858893492156074,1.588,0.794,0.794,0.0976928211079511,0.356835209180301,2.779,1.985,3.573
"2","Mean5",115,0.0901252823510234,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",112,116,0.00941946300910506,0.0505612090445474,1.588,1.191,0.397,0.0299903360268262,1.41109524267089,45.655,44.464,46.052
"2","Mean5",157,0.0893626435041801,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",155,161,0.0159746640896072,0.0197238199473721,2.382,0.794,1.588,0.0178492420184896,1.67809612865765,62.329,61.535,63.917
"2","Mean5",185,0.0854039075052978,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",183,186,0.0127319935728757,0.0456768274223972,1.191,0.794,0.397,0.0292044104976364,1.31874804444779,73.445,72.651,73.842
"2","Mean5",19,0.151235358498475,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",17,20,0.0724797988030646,0.12784388608155,1.191,0.794,0.397,0.100161842442307,1.19846445267938,7.543,6.749,7.94
"2","Mean5",206,0.0787672030365834,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",202,209,4.07516941061698e-05,0.024043499522623,2.779,1.588,1.191,0.0120421256083646,1.56573581721016,81.782,80.194,82.973
"2","Mean5",277,0.075908762778567,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",274,280,0.00073353049391056,0.0180238921360874,2.382,1.191,1.191,0.00937871131499898,1.56115943978343,109.969,108.778,111.16
"2","Mean5",29,0.084018349905689,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",28,30,0.0605977691358313,0.068014577463149,0.794,0.397,0.397,0.0643061732994901,0.462555640803874,11.513,11.116,11.91
"2","Mean5",45,0.117638497543255,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",42,49,0.0437032810935426,0.0507416808327318,2.779,1.191,1.588,0.0472224809631372,1.65234546761467,17.865,16.674,19.453
"2","Mean5",8,0.123209836294623,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",7,10,0.101495005006637,0.0980835060428941,1.191,0.397,0.794,0.0997892555247654,0.549575116052567,3.176,2.779,3.97
"2","Mean5",83,0.0830112008942087,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",80,85,0.0159746640896072,0.0546247351139884,1.985,1.191,0.794,0.0352996996017978,1.1195731701737,32.951,31.76,33.745
"3","Mean1",18,0.0987743245093428,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #3_3_1.csv",17,20,0.0881605343206996,0.0739631761603437,1.191,0.397,0.794,0.0810618552405216,0.239125257091818,7.146,6.749,7.94
