"","Day","Differentiation","Condition","Drug","pLNA","DishID","VideoID","CellID","log_amp_mean","amp_mean"
"27","Day37","m2","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m2.MC.pLNA-Ctrl.CS2","m2.MC.pLNA-Ctrl.CS2.2","m2.MC.pLNA-Ctrl.CS2.2.Mean1",-1.69630092785814,0.191122136001922
"28","Day37","m1","pLNA-1229_MA","MA","pLNA-1229","m1.MA.pLNA-1229.CS1","m1.MA.pLNA-1229.CS1.3","m1.MA.pLNA-1229.CS1.3.Mean1",-1.41320634358011,0.246275845100118
"29","Day37","m3","pLNA-1229_MA","MA","pLNA-1229","m3.MA.pLNA-1229.CS1","m3.MA.pLNA-1229.CS1.3","m3.MA.pLNA-1229.CS1.3.Mean1",-1.74690297763496,0.176796035101644
"30","Day37","m1","pLNA-1229_MC","MC","pLNA-1229","m1.MC.pLNA-1229.CS1","m1.MC.pLNA-1229.CS1.3","m1.MC.pLNA-1229.CS1.3.Mean1",-0.953715879531967,0.388193585724218
"31","Day37","m3","pLNA-1229_MC","MC","pLNA-1229","m3.MC.pLNA-1229.CS1","m3.MC.pLNA-1229.CS1.3","m3.MC.pLNA-1229.CS1.3.Mean1",-2.27588576358204,0.10788062001719
"32","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS1","m2.MA.pLNA-Ctrl.CS1.3","m2.MA.pLNA-Ctrl.CS1.3.Mean1",-1.75272527532019,0.175580194046835
"33","Day37","m3","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m3.MA.pLNA-Ctrl.CS1","m3.MA.pLNA-Ctrl.CS1.3","m3.MA.pLNA-Ctrl.CS1.3.Mean1",-2.33887318937484,0.0967053439200509
"34","Day37","m1","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m1.MC.pLNA-Ctrl.CS1","m1.MC.pLNA-Ctrl.CS1.3","m1.MC.pLNA-Ctrl.CS1.3.Mean1",-0.89331487585134,0.410846768052564
"35","Day37","m2","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m2.MC.pLNA-Ctrl.CS1","m2.MC.pLNA-Ctrl.CS1.3","m2.MC.pLNA-Ctrl.CS1.3.Mean1",-0.977587391745605,0.378763560834936
"36","Day37","m2","pLNA-1229_MA","MA","pLNA-1229","m2.MA.pLNA-1229.CS2","m2.MA.pLNA-1229.CS2.3","m2.MA.pLNA-1229.CS2.3.Mean1",-0.516974316943251,0.597672379950361
"37","Day37","m3","pLNA-1229_MA","MA","pLNA-1229","m3.MA.pLNA-1229.CS2","m3.MA.pLNA-1229.CS2.3","m3.MA.pLNA-1229.CS2.3.Mean1",-0.942387380914715,0.393312213877735
"38","Day37","m2","pLNA-1229_MC","MC","pLNA-1229","m2.MC.pLNA-1229.CS2","m2.MC.pLNA-1229.CS2.3","m2.MC.pLNA-1229.CS2.3.Mean1",-2.51130412163903,0.0811623246492986
"39","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS2","m2.MA.pLNA-Ctrl.CS2.3","m2.MA.pLNA-Ctrl.CS2.3.Mean1",-2.21161829565572,0.110980313805536
"40","Day37","m2","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m2.MC.pLNA-Ctrl.CS2","m2.MC.pLNA-Ctrl.CS2.3","m2.MC.pLNA-Ctrl.CS2.3.Mean1",-2.10319879736144,0.125841215589646
"41","Day37","m1","pLNA-1229_MA","MA","pLNA-1229","m1.MA.pLNA-1229.CS1","m1.MA.pLNA-1229.CS1.4","m1.MA.pLNA-1229.CS1.4.Mean1",-2.42285186535227,0.0889667637638209
"42","Day37","m2","pLNA-1229_MA","MA","pLNA-1229","m2.MA.pLNA-1229.CS1","m2.MA.pLNA-1229.CS1.4","m2.MA.pLNA-1229.CS1.4.Mean1",-1.28583218033158,0.291383503561416
"43","Day37","m3","pLNA-1229_MA","MA","pLNA-1229","m3.MA.pLNA-1229.CS1","m3.MA.pLNA-1229.CS1.4","m3.MA.pLNA-1229.CS1.4.Mean1",-2.32416556394685,0.0984665072659827
"44","Day37","m1","pLNA-1229_MC","MC","pLNA-1229","m1.MC.pLNA-1229.CS1","m1.MC.pLNA-1229.CS1.4","m1.MC.pLNA-1229.CS1.4.Mean1",-0.913442536297139,0.40527008059604
"45","Day37","m3","pLNA-1229_MC","MC","pLNA-1229","m3.MC.pLNA-1229.CS1","m3.MC.pLNA-1229.CS1.4","m3.MC.pLNA-1229.CS1.4.Mean1",-1.66451318119594,0.194199827167606
"46","Day37","m1","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m1.MA.pLNA-Ctrl.CS1","m1.MA.pLNA-Ctrl.CS1.4","m1.MA.pLNA-Ctrl.CS1.4.Mean1",-0.719315769390563,0.490471664863278
"47","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS1","m2.MA.pLNA-Ctrl.CS1.4","m2.MA.pLNA-Ctrl.CS1.4.Mean1",-1.83541372565205,0.164452323546872
"48","Day37","m1","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m1.MC.pLNA-Ctrl.CS1","m1.MC.pLNA-Ctrl.CS1.4","m1.MC.pLNA-Ctrl.CS1.4.Mean1",-1.17560460090895,0.315938024856468
"49","Day37","m2","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m2.MC.pLNA-Ctrl.CS1","m2.MC.pLNA-Ctrl.CS1.4","m2.MC.pLNA-Ctrl.CS1.4.Mean1",-2.27831583298733,0.103170395080412
"50","Day37","m2","pLNA-1229_MA","MA","pLNA-1229","m2.MA.pLNA-1229.CS2","m2.MA.pLNA-1229.CS2.4","m2.MA.pLNA-1229.CS2.4.Mean1",-1.94886313690241,0.143593122322308
"51","Day37","m3","pLNA-1229_MA","MA","pLNA-1229","m3.MA.pLNA-1229.CS2","m3.MA.pLNA-1229.CS2.4","m3.MA.pLNA-1229.CS2.4.Mean1",-1.31696429837701,0.386535037622168
"52","Day37","m2","pLNA-1229_MC","MC","pLNA-1229","m2.MC.pLNA-1229.CS2","m2.MC.pLNA-1229.CS2.4","m2.MC.pLNA-1229.CS2.4.Mean1",-2.18233492417888,0.113067970575738
"53","Day37","m3","pLNA-1229_MC","MC","pLNA-1229","m3.MC.pLNA-1229.CS2","m3.MC.pLNA-1229.CS2.4","m3.MC.pLNA-1229.CS2.4.Mean1",-1.46305777833317,0.236783822717549
"54","Day37","m3","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m3.MA.pLNA-Ctrl.CS2","m3.MA.pLNA-Ctrl.CS2.4","m3.MA.pLNA-Ctrl.CS2.4.Mean1",-2.44302518741467,0.0875620509974409
"55","Day37","m3","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m3.MC.pLNA-Ctrl.CS2","m3.MC.pLNA-Ctrl.CS2.4","m3.MC.pLNA-Ctrl.CS2.4.Mean1",-2.00665666666823,0.139964584249104
"56","Day37","m1","pLNA-1229_MA","MA","pLNA-1229","m1.MA.pLNA-1229.CS1","m1.MA.pLNA-1229.CS1.5","m1.MA.pLNA-1229.CS1.5.Mean1",-0.923505472082854,0.400136315044111
"57","Day37","m2","pLNA-1229_MA","MA","pLNA-1229","m2.MA.pLNA-1229.CS1","m2.MA.pLNA-1229.CS1.5","m2.MA.pLNA-1229.CS1.5.Mean1",-1.86953779531615,0.172817974019103
"58","Day37","m3","pLNA-1229_MA","MA","pLNA-1229","m3.MA.pLNA-1229.CS1","m3.MA.pLNA-1229.CS1.5","m3.MA.pLNA-1229.CS1.5.Mean1",-1.80849726722674,0.168623336358137
"59","Day37","m2","pLNA-1229_MC","MC","pLNA-1229","m2.MC.pLNA-1229.CS1","m2.MC.pLNA-1229.CS1.5","m2.MC.pLNA-1229.CS1.5.Mean1",-2.43997397509713,0.0871631198441914
"60","Day37","m3","pLNA-1229_MC","MC","pLNA-1229","m3.MC.pLNA-1229.CS1","m3.MC.pLNA-1229.CS1.5","m3.MC.pLNA-1229.CS1.5.Mean1",-1.30374287501949,0.293417264431757
"61","Day37","m1","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m1.MA.pLNA-Ctrl.CS1","m1.MA.pLNA-Ctrl.CS1.5","m1.MA.pLNA-Ctrl.CS1.5.Mean1",-0.876673793080657,0.422689261782134
"62","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS1","m2.MA.pLNA-Ctrl.CS1.5","m2.MA.pLNA-Ctrl.CS1.5.Mean1",-1.47197383776137,0.234274835930064
"63","Day37","m1","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m1.MC.pLNA-Ctrl.CS1","m1.MC.pLNA-Ctrl.CS1.5","m1.MC.pLNA-Ctrl.CS1.5.Mean1",-0.985023758759387,0.382082804033296
"64","Day37","m2","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m2.MC.pLNA-Ctrl.CS1","m2.MC.pLNA-Ctrl.CS1.5","m2.MC.pLNA-Ctrl.CS1.5.Mean1",-2.06990988980885,0.127692790514414
"65","Day37","m2","pLNA-1229_MA","MA","pLNA-1229","m2.MA.pLNA-1229.CS2","m2.MA.pLNA-1229.CS2.5","m2.MA.pLNA-1229.CS2.5.Mean1",-2.15313862266968,0.120160866437977
"66","Day37","m2","pLNA-1229_MC","MC","pLNA-1229","m2.MC.pLNA-1229.CS2","m2.MC.pLNA-1229.CS2.5","m2.MC.pLNA-1229.CS2.5.Mean1",-1.95394066434751,0.143227834877173
"67","Day37","m3","pLNA-1229_MC","MC","pLNA-1229","m3.MC.pLNA-1229.CS2","m3.MC.pLNA-1229.CS2.5","m3.MC.pLNA-1229.CS2.5.Mean1",-2.0350646696174,0.132461702952552
"68","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS2","m2.MA.pLNA-Ctrl.CS2.5","m2.MA.pLNA-Ctrl.CS2.5.Mean1",-1.80072633946388,0.167123862532026
